UID,Date,Ticker,Sentiment,Reason
50,2015-01-05,AMGN,Strongly Bullish,"Amgen is upgraded to a Zacks Rank #1 (Strong Buy) with impressive quarterly results, indicating strong analyst confidence and financial performance."
51,2015-01-05,ALGN,Bullish,"Align Technology is highlighted as a better-ranked stock in the medical/dental supply space, reflecting positive analyst sentiment."
52,2015-01-05,ADP,Neutral,The news reports insider selling at ADP without indicating a clear positive or negative impact on the company's outlook.
53,2015-01-05,TCOM,Bearish,"Ctrip.com International's ADR fell 2.1%, reflecting negative market sentiment amid broader declines in Asian ADRs."
54,2015-01-05,COST,Slightly Bullish,"Costco Wholesale shows potential for a 2.5% return if called at a higher strike price, indicating a mildly positive outlook for investors."
55,2015-01-05,EQT,Strongly Bearish,"EQT Corporation's stock dropped 25% over six months due to the energy crash, with no analysts raising earnings estimates, signaling significant downside risk."
56,2015-01-05,BIDU,Bullish,"Baidu is listed among top competitors that outperformed others in 2014, suggesting a positive outlook for the stock."
57,2015-01-05,GILD,Strongly Bearish,Gilead Sciences' stock plunged up to 14% in December due to competitive pressure from AbbVie's newly approved hepatitis C drug.
58,2015-01-06,ODFL,Neutral,The news discusses options trading for Old Dominion Freight Line without a clear directional impact on the stock's outlook.
59,2015-01-06,ADP,Neutral,"The news mentions a dividend payment for EPIQ Systems with ADP referenced neutrally, lacking a clear sentiment impact."
60,2015-01-06,INCY,Bullish,Incyte Corporation is listed among better-ranked stocks in the healthcare sector with a positive analyst outlook.
61,2015-01-06,SBUX,Neutral,"The news about Darden Restaurants' ex-dividend date mentions Starbucks only as part of the consumer services sector, with no specific positive or negative impact on SBUX."
62,2015-01-06,SBUX,Slightly Bearish,"The mention of Starbucks outlets in Target Canada stores is overshadowed by negative customer experiences at Target, which could indirectly reflect poorly on SBUX's brand association."
63,2015-01-06,BIIB,Neutral,"The news focuses on Isis Pharmaceuticals' collaboration with J&J, mentioning Biogen Idec only as a partner, with no specific positive or negative impact on BIIB."
64,2015-01-06,SBUX,Bullish,Starbucks selling 46 million gift cards during the holiday season indicates strong consumer demand and is likely to boost revenue in the upcoming quarter.
65,2015-01-06,BIIB,Strongly Bullish,"Biogen's stock rose 10% due to promising early-stage data on BIIB037 for Alzheimer's, with the drug moving directly to phase 3 trials, signaling significant potential upside."
66,2015-01-06,MU,Slightly Bearish,"Micron Technology's after-hours trading shows a price decline of $0.66, indicating a slight negative market reaction."
67,2015-01-06,AMGN,Bullish,"Amgen's collaboration with Kite Pharma to develop cancer therapies is a positive strategic move, enhancing its position in immunotherapy."
68,2015-01-06,AMGN,Bullish,"Amgen's partnership with Kite Pharma for CAR T cell immunotherapies, including a $60 million upfront payment to Kite, reflects positively on Amgen's innovation in cancer treatment."
69,2015-01-06,MU,Neutral,The news about Micron Technology's upcoming earnings report provides historical context but lacks specific positive or negative catalysts for the current period.
70,2015-01-06,MU,Slightly Bearish,"The news highlights SanDisk's new product launches strengthening its market position, which could pose competitive pressure on Micron Technology."
71,2015-01-06,MU,Neutral,The earnings reaction history for Micron Technology indicates potential price movement but lacks a clear directional signal for sentiment.
72,2015-01-06,BIDU,Bullish,"Baidu's stock soared in 2014 with significant mobile revenue growth, indicating strong performance and positive investor outlook for 2015."
73,2015-01-06,EXPE,Neutral,The news discusses Expedia's history of spinoffs but provides no current positive or negative impact on the company's outlook.
74,2015-01-06,SIRI,Neutral,"Sirius XM's after-hours trading shows a minor price decline, but the 'buy range' recommendation balances the sentiment to neutral."
75,2015-01-06,BIIB,Bullish,Biogen Idec's 2.3% increase in early trading as a top performer in the Nasdaq 100 indicates positive market sentiment.
76,2015-01-06,INCY,Slightly Bullish,"Incyte Corp. being listed as a better-ranked stock with a Zacks Rank #1 (Strong Buy) suggests a positive outlook, though the news focuses on another company."
77,2015-01-06,PEP,Slightly Bullish,"PepsiCo's stock outperformed competitors and the S&P 500, with expected revenue growth, despite potential currency challenges in Russia."
78,2015-01-06,SWKS,Slightly Bullish,"Skyworks Solutions being listed as a Zacks Rank #1 (Strong Buy) stock suggests a positive outlook, though the news focuses on Broadcom's new products."
79,2015-01-06,INCY,Slightly Bullish,"Incyte Corporation's mention as a better-ranked stock with a Zacks Rank #1 (Strong Buy) indicates a positive sentiment, despite the focus on Akebia."
80,2015-01-06,ADBE,Slightly Bullish,"Adobe's integration of Behance with Creative Cloud and focus on growth suggest a positive outlook, though no specific catalyst is mentioned."
81,2015-01-06,COST,Neutral,Costco's mention as a retailer in a new property development lacks specific positive or negative impact on its business outlook.
82,2015-01-06,COST,Bullish,Costco's strategy of discounted pricing and sustained sales momentum amid competition highlights strong performance and market position.
83,2015-01-06,MNST,Slightly Bullish,"Monster Beverage Corp. being listed as a better-ranked beverage company suggests a positive outlook, though the news focuses on Molson Coors."
84,2015-01-06,ADBE,Neutral,The news of an Adobe SVP selling shares lacks context for a clear positive or negative impact on the company's outlook.
85,2015-01-06,DISH,Bullish,DISH Network's launch of Sling TV as a low-cost Internet TV service is a strategic move to reduce customer churn and expand market reach.
86,2015-01-06,QCOM,Slightly Bearish,"Qualcomm's shares declining by about 1% and approaching session lows, despite efforts to resolve an antitrust probe, indicate slight negative sentiment."
87,2015-01-06,COST,Neutral,"Costco's 0.7% price increase is mentioned in the context of ETF outflows, which does not provide a clear directional signal for sentiment."
88,2015-01-06,QCOM,Slightly Bullish,"Qualcomm's involvement in the growing telemedicine market suggests potential for future growth, though no immediate catalyst is mentioned."
89,2015-01-06,DISH,Neutral,"The news focuses on Time Warner Cable's pay-TV subscriber losses, with no direct mention or impact on DISH Network's operations."
90,2015-01-06,EBAY,Slightly Bullish,"eBay's pre-market trading shows a slight price increase, indicating mild positive market sentiment."
91,2015-01-06,EBAY,Neutral,The news item mentions eBay Inc. in passing as part of the Miscellaneous sector but provides no specific positive or negative information about the company.
92,2015-01-06,TXN,Slightly Bullish,"Texas Instruments Inc. is reported to be up by 0.2% in trading, indicating a slight positive movement in stock price."
93,2015-01-06,QCOM,Neutral,The news item mentions Qualcomm as a potential vendor for stand-alone basebands but provides no specific positive or negative sentiment towards the company.
94,2015-01-06,QCOM,Neutral,"The news item discusses Intel's mobile efforts and mentions Qualcomm as a competitor in the low-cost chip market, with no clear positive or negative sentiment towards Qualcomm."
95,2015-01-06,INCY,Bullish,"Incyte Corporation is highlighted as a better-ranked stock in the biotech sector, suggesting positive sentiment and potential upside."
96,2015-01-07,SBUX,Slightly Bullish,"Starbucks Corp. is mentioned as part of strategic licensing agreements to offer signature drinks, indicating a slight positive association with growth potential."
97,2015-01-07,SBUX,Bullish,"Starbucks is launching a new Flat White espresso beverage in the U.S. and Canada, which reflects innovation and potential for increased sales."
98,2015-01-07,SBUX,Slightly Bullish,"Starbucks Corp. is included in strategic distribution agreements for Keurig's portion pack system, suggesting a positive but not transformative impact."
99,2015-01-07,XEL,Slightly Bullish,"Xcel Energy is reported to be up by 0.2% in morning trading, indicating a slight positive movement in stock price."
100,2015-01-07,BIIB,Neutral,"The news item does not mention Biogen (BIIB) specifically and focuses on other companies, providing no directional sentiment for BIIB."
101,2015-01-07,MU,Bearish,Micron Technology Inc. shares dropped 4.6% after reporting lower-than-expected revenues and providing tepid guidance for the next quarter.
102,2015-01-07,MU,Bearish,"Micron Technology Inc. is down by 0.73 at $32.14 in pre-market trading, indicating negative price movement."
103,2015-01-07,MU,Bearish,"Micron Technology is the worst performing Nasdaq 100 component, trading down 2.6%, reflecting negative sentiment."
104,2015-01-07,BIIB,Neutral,"The news item focuses on Isis Pharmaceuticals and does not mention Biogen (BIIB), providing no specific sentiment for the ticker."
105,2015-01-07,PEP,Bullish,"PepsiCo, Inc. is noted for outperforming Coca-Cola in 2014 with strong performance and an optimistic outlook, including raised earnings guidance."
106,2015-01-07,DISH,Bullish,"DISH Network Corp. unveiled its new Internet TV service 'Sling TV,' which is aimed at reducing customer churn and indicates potential growth."
107,2015-01-07,MU,Bearish,"Micron Technology slipped 2% after providing Q2 revenue guidance below analysts' consensus, reflecting negative sentiment."
108,2015-01-07,PCAR,Bullish,"PACCAR Inc. is recommended as a better-ranked stock in the auto industry with a Zacks Rank #2 (Buy), indicating positive sentiment."
109,2015-01-07,PEP,Bullish,"PepsiCo is favored over AT&T for its reliable dividend and continuously rising payouts, reflecting positive investor sentiment."
110,2015-01-07,ENPH,Strongly Bullish,"Enphase Energy is highlighted as a small-cap stock with significant growth potential in the solar industry, holding over 90% domestic market share in residential microinverters."
111,2015-01-07,ADP,Slightly Bearish,"Automatic Data Processing, Inc. has been downgraded by Credit Suisse to a neutral rating from outperform, indicating a slight negative sentiment."
112,2015-01-07,PEP,Bullish,"PepsiCo is described as a strong stock in the beverage group with growing earnings, reflecting positive sentiment."
113,2015-01-07,AMAT,Neutral,"Applied Materials, Inc. is reported as trading flat, with no clear positive or negative directional signal."
114,2015-01-07,ORLY,Strongly Bullish,"O'Reilly Automotive Inc. is a Zacks Rank #1 (Strong Buy) stock with a positive Earnings ESP, indicating strong potential for upside."
115,2015-01-07,TXN,Bullish,"Texas Instruments is highlighted for impressive dividend payout boosts, suggesting a positive outlook for investors."
116,2015-01-07,MU,Neutral,"Micron Technology is mentioned as a potential investment option in the technology sector, with no specific positive or negative sentiment provided."
117,2015-01-07,ADP,Slightly Bullish,"The ADP report for December came in slightly above estimates at 241K, indicating a minor positive sentiment for the company."
118,2015-01-07,MU,Bearish,"Micron Technology is trading down about 1.8% with high volume, reflecting negative sentiment in the market."
119,2015-01-07,ADBE,Bullish,"Adobe Systems Inc. is recommended as a better-ranked stock in the technology space with a Zacks Rank #2 (Buy), indicating positive sentiment."
120,2015-01-07,MU,Bearish,"Micron Technology slipped 2.5% after providing Q2 revenue guidance below analysts' consensus, indicating negative sentiment."
121,2015-01-07,MU,Bearish,"Micron Technology slipped 2% after providing a Q2 revenue guidance below analysts' consensus, indicating potential downside risk."
122,2015-01-07,GILD,Slightly Bullish,"Gilead Sciences is up about 1.8% in trading, reflecting a slightly positive market response."
123,2015-01-07,CMCSA,Neutral,"Comcast Corp is down by only 0.1%, showing no significant directional impact from the ETF outflow news."
124,2015-01-07,GILD,Bullish,Gilead Sciences entering an agreement to purchase a liver disease program from Phenex indicates a positive strategic move with potential upside.
125,2015-01-07,GILD,Neutral,"The news of a deal between Gilead Sciences and AbbVie lacks specific details on impact, resulting in a balanced view with no clear directional signal."
126,2015-01-07,GILD,Neutral,The mention of Gilead Sciences in relation to another company's dividend payment does not provide a direct sentiment signal for GILD.
127,2015-01-07,GILD,Slightly Bearish,"The article suggests other biotech stocks could outperform Gilead Sciences in 2015, indicating slight downside risk."
128,2015-01-07,QCOM,Strongly Bullish,"Qualcomm is described as a hidden treasure with a phenomenal business model and wide moat, suggesting significant upside potential."
129,2015-01-07,EA,Neutral,The news item lists Electronic Arts as active in after-hours trading but provides no specific positive or negative catalyst for sentiment.
130,2015-01-07,CMCSA,Neutral,"The discussion on the future of TV lacks specific positive or negative impact on Comcast, resulting in a balanced view."
131,2015-01-07,ADBE,Neutral,"Adobe Systems is mentioned alongside other stocks without specific details on performance or catalysts, leading to a neutral sentiment."
132,2015-01-07,AMGN,Neutral,The mention of Amgen in relation to another company's dividend payment does not provide a direct sentiment signal for AMGN.
133,2015-01-07,PEP,Slightly Bullish,"PepsiCo is up by about 2.1% in trading, indicating a slightly positive market response."
134,2015-01-07,TMUS,Neutral,"The news discusses telecom underperformance broadly without specific negative or positive impact on T-Mobile, resulting in a neutral sentiment."
135,2015-01-07,TMUS,Bullish,T-Mobile's decision to utilize unlicensed airwaves to boost its LTE network reflects a positive strategic move with growth potential.
136,2015-01-07,INCY,Neutral,"Incyte Corporation is mentioned as a better-ranked stock without specific details on performance or catalysts, leading to a neutral sentiment."
137,2015-01-07,TMUS,Slightly Bearish,"The article suggests T-Mobile's network quality and reliability do not match Verizon's, indicating slight downside risk."
138,2015-01-07,SIRI,Slightly Bullish,"Sirius XM Holdings is up by 0.05 with a 'buy range' recommendation, reflecting a slightly positive sentiment."
139,2015-01-07,AMGN,Slightly Bullish,"Amgen is up about 2.5% in trading, indicating a slightly positive market response."
140,2015-01-07,AMGN,Neutral,"The investment in synthetic biology by Amgen is mentioned without specific impact or outcome, resulting in a neutral sentiment."
141,2015-01-07,INCY,Neutral,"Incyte Corporation is listed as a better-ranked stock without specific performance details, leading to a neutral sentiment."
142,2015-01-08,COST,Slightly Bullish,"Costco's 3% rise in same-store sales, driven by strong electronics sales, indicates a slightly positive performance despite missing expectations slightly."
143,2015-01-08,TMUS,Strongly Bullish,"T-Mobile's record subscriber growth in 2014, exceeding its own guidance with 4.9 million net customer additions, signals strong positive momentum."
144,2015-01-08,SIRI,Slightly Bullish,"Sirius XM Holdings is up by 0.03 with a 'buy range' recommendation, reflecting a slightly positive sentiment."
145,2015-01-08,INCY,Neutral,"Incyte Corporation is mentioned as a better-ranked stock without specific catalysts or performance details, leading to a neutral sentiment."
146,2015-01-08,INCY,Neutral,"Incyte Corporation is listed as a better-ranked stock without specific impact or performance details, resulting in a neutral sentiment."
147,2015-01-08,INCY,Neutral,"Incyte Corporation is mentioned as a better-ranked stock without specific details on performance, leading to a neutral sentiment."
148,2015-01-08,INCY,Neutral,"Incyte Corporation is listed as a favorably ranked stock without specific performance or catalyst details, resulting in a neutral sentiment."
149,2015-01-08,BIIB,Bearish,"Biogen Idec is trading down 2.9%, indicating a negative market response and downside risk."
150,2015-01-08,DISH,Slightly Bearish,Dish Network's ongoing disputes with content owners like Fox News and CBS over programming costs suggest slight downside risk due to potential subscriber impact.
151,2015-01-08,DISH,Bullish,The introduction of DISH Network's Sling TV at a major electronics show indicates a positive strategic move into Internet TV services.
152,2015-01-08,SBUX,Neutral,"The summary highlights challenges in expanding food sales at Starbucks, balanced by a general positive outlook for stocks in 2015."
153,2015-01-08,EXC,Neutral,The news about Exelon's dividend and slight stock price increase lacks a strong directional catalyst for sentiment.
154,2015-01-08,EXPE,Neutral,The availability of new options for Expedia stock does not provide a clear positive or negative sentiment towards the company's performance.
155,2015-01-08,CMCSA,Slightly Bearish,The trend of declining advertising revenues for CBS suggests potential challenges for Comcast in the broadcasting sector.
156,2015-01-08,CMCSA,Neutral,The news about DirecTV raising subscription prices due to programming costs does not directly impact Comcast's sentiment.
157,2015-01-08,MNST,Strongly Bullish,"Monster Beverage is highlighted as a strong buy with consistent January gains and significant historical returns, boosted by a major stakeholder investment."
158,2015-01-08,HSIC,Bullish,Henry Schein's stock price increase following the expansion of its dental equipment distribution in North America reflects positive market reception.
159,2015-01-08,PEP,Neutral,The mention of PepsiCo in a partnership for advertising on WWE Network lacks a strong directional impact on sentiment.
160,2015-01-08,GILD,Neutral,The mixed portrayal of Gilead Sciences as a battleground stock with no clear positive or negative catalyst results in a neutral sentiment.
161,2015-01-08,PEP,Neutral,The partnership of PepsiCo with Keurig Cold for single-serve pods does not provide a strong positive or negative signal for sentiment.
162,2015-01-08,MU,Bullish,Micron Technology's stock trading up by 4.1% indicates a positive performance in the Nasdaq 100 index.
163,2015-01-08,AMGN,Slightly Bearish,The recommendation for approval of a biosimilar version of Amgen's Neupogen by Novartis suggests potential competitive pressure.
164,2015-01-08,TSCO,Bullish,Tractor Supply's stock trading up by 4.3% as a top performer in the Nasdaq 100 index reflects positive market sentiment.
165,2015-01-08,PCAR,Neutral,The mention of PACCAR as a better-ranked stock in the auto industry lacks specific positive or negative news directly impacting sentiment.
166,2015-01-08,GILD,Neutral,The indirect mention of Gilead in relation to another company's hepatitis C approval does not provide a clear sentiment direction.
167,2015-01-09,INCY,Neutral,Incyte's unchanged stock price in pre-market trade despite a partnership announcement results in a neutral sentiment.
168,2015-01-09,TMUS,Neutral,The introduction of a data plan by T-Mobile to promote its brand lacks a strong positive or negative impact on sentiment.
169,2015-01-09,EA,Slightly Bullish,Electronic Arts gaining momentum over the past five trading days suggests a slightly positive market sentiment.
170,2015-01-09,INCY,Neutral,Incyte's unchanged stock price in pre-market trade despite a partnership announcement results in a neutral sentiment.
171,2015-01-09,INCY,Neutral,The mention of Incyte as a better-ranked stock in the healthcare sector lacks specific news to drive a strong sentiment.
172,2015-01-09,SBUX,Slightly Bearish,The announcement of Starbucks' COO taking an indefinite leave could introduce uncertainty in operational leadership.
173,2015-01-09,SIRI,Neutral,Sirius XM's unchanged stock price and lack of specific positive or negative news result in a neutral sentiment.
174,2015-01-09,INCY,Neutral,"The partnership with Agenus potentially worth over $400 million does not reflect an immediate stock price movement for Incyte, resulting in neutral sentiment."
175,2015-01-09,EXPE,Bullish,Expedia's third-quarter earnings beat and expected 17% earnings growth indicate a positive outlook for the company.
176,2015-01-09,SBUX,Slightly Bullish,Insights from Roy Street Coffee & Tea contributing to Starbucks' understanding of consumer tastes suggest a slightly positive impact on future strategies.
177,2015-01-09,AMGN,Neutral,The comparison of Cimzia to Amgen's Enbrel in a study lacks a clear positive or negative impact on Amgen's sentiment.
178,2015-01-09,SBUX,Slightly Bearish,Starbucks trading down by 2.2% in the Nasdaq 100 index reflects a slightly negative market sentiment.
179,2015-01-09,INCY,Slightly Bullish,The partnership with Agenus involving significant upfront payment and equity investment suggests a slightly positive outlook for Incyte.
180,2015-01-09,AMGN,Slightly Bearish,The pressure on alliance revenues due to the expiry of agreements including with Amgen for Enbrel suggests a slightly negative impact.
181,2015-01-09,INCY,Bullish,"The news highlights a license and commercialization agreement with Agenus, indicating positive collaboration and potential growth for Incyte."
182,2015-01-09,DISH,Neutral,The news mentions DISH Network as a participant in the AWS-3 spectrum auction without indicating any specific positive or negative impact on the company.
183,2015-01-09,GILD,Bullish,"The news suggests Gilead Sciences as a potential takeover target due to strong growth prospects in HIV and liver disease franchises, indicating positive market perception."
184,2015-01-09,MNST,Bullish,"The news mentions Coca-Cola's plan to purchase a significant stake in Monster Beverage for $2.15 billion, signaling strong investor confidence and potential growth."
185,2015-01-09,EXC,Slightly Bullish,"The news indicates that Exelon Corp was a new addition to Van Den Berg's portfolio with a notable impact, suggesting positive investor interest."
186,2015-01-09,EXC,Bullish,"The news expresses excitement about Exelon's prospects, indicating a positive outlook for the company's future performance."
187,2015-01-09,BIIB,Slightly Bearish,"The news reports a 2.4% decline in Biogen Idec's stock price, suggesting a slight negative market reaction."
188,2015-01-09,BIIB,Strongly Bullish,"The news announces positive top-line results from a phase II study on anti-LINGO-1, indicating significant progress in treatment development for acute optic neuritis."
189,2015-01-09,BIIB,Neutral,The news mentions Biogen Idec in relation to a partnership with Isis Pharmaceuticals without providing specific positive or negative details about Biogen itself.
190,2015-01-09,QCOM,Neutral,The news focuses on Intel's achievements in the smartphone market without providing specific positive or negative information about Qualcomm.
191,2015-01-09,QCOM,Bullish,"The news highlights Qualcomm as an underdog with potential to be a top stock in 2015, supported by significant returns to investors through buybacks and dividends."
192,2015-01-09,AKAM,Slightly Bearish,"The news reports a 0.6% decline in Akamai Technologies' stock price, indicating a slight negative market movement."
193,2015-01-09,ADP,Slightly Bullish,"The news mentions an improvement in private sector hiring as reported by Automatic Data Processing, suggesting a positive economic indicator related to the company."
194,2015-01-09,PCAR,Slightly Bullish,"The news recommends PACCAR Inc. as a better-ranked stock in the auto industry with a Zacks Rank #2 (Buy), indicating a positive outlook."
195,2015-01-09,ADBE,Slightly Bearish,"The news reports a 0.6% decline in Adobe Systems' stock price, suggesting a slight negative market reaction."
196,2015-01-10,DISH,Bullish,"The news suggests that DISH's new Sling TV service is a significant win for content providers like Walt Disney, but also implies positive innovation and market positioning for DISH."
197,2015-01-10,TMUS,Neutral,"The news discusses a competitive move by T-Mobile but focuses more on AT&T's response, lacking specific positive or negative impact on T-Mobile itself."
198,2015-01-10,GILD,Bullish,"The news highlights Gilead's strategic acquisition of Phenex's NASH program, suggesting potential for a blockbuster drug and positive future growth."
199,2015-01-10,QCOM,Slightly Bullish,"The news lists Qualcomm among companies with high profitability, indicating a positive financial standing compared to competitors like Apple."
200,2015-01-10,DISH,Bullish,"The news discusses DISH's launch of Sling TV as a cost-effective alternative to traditional cable, indicating innovative market disruption and potential growth."
201,2015-01-10,CMCSA,Neutral,The news mentions Comcast in a list of companies with poor reputations but does not provide specific negative impacts or catalysts directly affecting the company.
202,2015-01-10,AMGN,Neutral,"The news does not provide specific information about Amgen, focusing instead on general health trends without direct impact on the company."
203,2015-01-10,CMCSA,Slightly Bearish,"The news suggests potential increased regulation on Comcast by the FCC, which could pose challenges to its operations."
204,2015-01-10,GILD,Neutral,The news discusses revenue uncertainties for Gilead's hepatitis C drugs without clear positive or negative implications for the company's performance.
205,2015-01-10,CMCSA,Slightly Bearish,"The news indicates potential cost increases for broadband services by Comcast in response to competitive streaming services, suggesting a defensive strategy that could impact customer perception."
206,2015-01-10,DISH,Slightly Bullish,"The news highlights DISH's innovative move to launch a purely digital pay TV service, indicating adaptability and potential market expansion."
207,2015-01-11,DISH,Bullish,"The news discusses DISH's Sling TV as a competitive offering that challenges traditional cable models, suggesting a strong strategic position against competitors like Comcast."
208,2015-01-11,BMRN,Bullish,"The news highlights BioMarin's focus on ultra-rare diseases with potential for a home run drug like Vimizim, indicating strong growth prospects."
209,2015-01-11,EBAY,Neutral,The news mentions eBay as a potential investment option for kids without specific positive or negative catalysts affecting the company.
